# PostgreSQL 18.4 pg_cast rows: oid, source, target, function oid, function name, context, method.
# Generated from a stock PostgreSQL 18.4 catalog and reviewed as DT-1505 compatibility data.
10147	bytea	int4	6371	int4	e	f
10148	bytea	int8	6372	int8	e	f
10149	char	int4	77	int4	e	f
10150	int4	char	78	char	e	f
10151	pg_node_tree	text	0		i	b
10152	pg_ndistinct	bytea	0		i	b
10153	pg_ndistinct	text	0		i	i
10154	pg_dependencies	bytea	0		i	b
10155	pg_dependencies	text	0		i	i
10156	pg_mcv_list	bytea	0		i	b
10157	pg_mcv_list	text	0		i	i
10158	date	timestamp	2024	timestamp	i	f
10159	date	timestamptz	1174	timestamptz	i	f
10160	time	interval	1370	interval	i	f
10161	time	timetz	2047	timetz	i	f
10162	timestamp	date	2029	date	a	f
10163	timestamp	time	1316	time	a	f
10164	timestamp	timestamptz	2028	timestamptz	i	f
10165	timestamptz	date	1178	date	a	f
10166	timestamptz	time	2019	time	a	f
10167	timestamptz	timestamp	2027	timestamp	a	f
10168	timestamptz	timetz	1388	timetz	a	f
10169	interval	time	1419	time	a	f
10170	timetz	time	2046	time	a	f
10171	point	box	4091	box	a	f
10172	lseg	point	1532	point	e	f
10173	path	polygon	1449	polygon	a	f
10174	box	point	1534	point	e	f
10175	box	lseg	1541	lseg	e	f
10176	box	polygon	1448	polygon	a	f
10177	box	circle	1479	circle	e	f
10178	polygon	point	1540	point	e	f
10179	polygon	path	1447	path	a	f
10180	polygon	box	1446	box	e	f
10181	polygon	circle	1474	circle	e	f
10182	circle	point	1416	point	e	f
10183	circle	box	1480	box	e	f
10184	circle	polygon	1544	polygon	e	f
10185	macaddr	macaddr8	4123	macaddr8	i	f
10186	macaddr8	macaddr	4124	macaddr	i	f
10187	cidr	inet	0		i	b
10188	inet	cidr	1715	cidr	a	f
10189	bit	varbit	0		i	b
10190	varbit	bit	0		i	b
10191	int8	bit	2075	bit	e	f
10192	int4	bit	1683	bit	e	f
10193	bit	int8	2076	int8	e	f
10194	bit	int4	1684	int4	e	f
10195	cidr	text	730	text	a	f
10196	inet	text	730	text	a	f
10197	bool	text	2971	text	a	f
10198	xml	text	0		a	b
10199	text	xml	2896	xml	e	f
10200	cidr	varchar	730	text	a	f
10201	inet	varchar	730	text	a	f
10202	bool	varchar	2971	text	a	f
10203	xml	varchar	0		a	b
10204	varchar	xml	2896	xml	e	f
10205	cidr	bpchar	730	text	a	f
10206	inet	bpchar	730	text	a	f
10207	bool	bpchar	2971	text	a	f
10208	xml	bpchar	0		a	b
10209	bpchar	xml	2896	xml	e	f
10210	bpchar	bpchar	668	bpchar	i	f
10211	varchar	varchar	669	varchar	i	f
10212	time	time	1968	time	i	f
10213	timestamp	timestamp	1961	timestamp	i	f
10214	timestamptz	timestamptz	1967	timestamptz	i	f
10215	interval	interval	1200	interval	i	f
10216	timetz	timetz	1969	timetz	i	f
10217	bit	bit	1685	bit	i	f
10218	varbit	varbit	1687	varbit	i	f
10219	numeric	numeric	1703	numeric	i	f
10220	json	jsonb	0		a	i
10221	jsonb	json	0		a	i
10222	jsonb	bool	3556	bool	e	f
10223	jsonb	numeric	3449	numeric	e	f
10224	jsonb	int2	3450	int2	e	f
10225	jsonb	int4	3451	int4	e	f
10226	jsonb	int8	3452	int8	e	f
10227	jsonb	float4	3453	float4	e	f
10228	jsonb	float8	2580	float8	e	f
10229	int4range	int4multirange	4281	int4multirange	e	f
10230	int8range	int8multirange	4296	int8multirange	e	f
10231	numrange	nummultirange	4284	nummultirange	e	f
10232	daterange	datemultirange	4293	datemultirange	e	f
10233	tsrange	tsmultirange	4287	tsmultirange	e	f
10234	tstzrange	tstzmultirange	4290	tstzmultirange	e	f
