397	403	array_ops	11	10
423	403	bit_ops	11	10
424	403	bool_ops	11	10
426	403	bpchar_ops	11	10
427	405	bpchar_ops	11	10
428	403	bytea_ops	11	10
429	403	char_ops	11	10
431	405	char_ops	11	10
434	403	datetime_ops	11	10
435	405	date_ops	11	10
627	405	array_ops	11	10
1029	783	point_ops	11	10
1970	403	float_ops	11	10
1971	405	float_ops	11	10
1974	403	network_ops	11	10
1975	405	network_ops	11	10
1976	403	integer_ops	11	10
1977	405	integer_ops	11	10
1982	403	interval_ops	11	10
1983	405	interval_ops	11	10
1984	403	macaddr_ops	11	10
1985	405	macaddr_ops	11	10
1988	403	numeric_ops	11	10
1989	403	oid_ops	11	10
1990	405	oid_ops	11	10
1991	403	oidvector_ops	11	10
1992	405	oidvector_ops	11	10
1994	403	text_ops	11	10
1995	405	text_ops	11	10
1996	403	time_ops	11	10
1997	405	time_ops	11	10
1998	405	numeric_ops	11	10
1999	405	timestamptz_ops	11	10
2000	403	timetz_ops	11	10
2001	405	timetz_ops	11	10
2002	403	varbit_ops	11	10
2040	405	timestamp_ops	11	10
2095	403	text_pattern_ops	11	10
2097	403	bpchar_pattern_ops	11	10
2099	403	money_ops	11	10
2222	405	bool_ops	11	10
2223	405	bytea_ops	11	10
2225	405	xid_ops	11	10
2226	405	cid_ops	11	10
2227	405	tid_ops	11	10
2229	405	text_pattern_ops	11	10
2231	405	bpchar_pattern_ops	11	10
2235	405	aclitem_ops	11	10
2593	783	box_ops	11	10
2594	783	poly_ops	11	10
2595	783	circle_ops	11	10
2745	2742	array_ops	11	10
2789	403	tid_ops	11	10
2968	403	uuid_ops	11	10
2969	405	uuid_ops	11	10
2994	403	record_ops	11	10
3194	403	record_image_ops	11	10
3253	403	pg_lsn_ops	11	10
3254	405	pg_lsn_ops	11	10
3371	403	macaddr8_ops	11	10
3372	405	macaddr8_ops	11	10
3474	4000	range_ops	11	10
3522	403	enum_ops	11	10
3523	405	enum_ops	11	10
3550	783	network_ops	11	10
3626	403	tsvector_ops	11	10
3655	783	tsvector_ops	11	10
3659	2742	tsvector_ops	11	10
3683	403	tsquery_ops	11	10
3702	783	tsquery_ops	11	10
3794	4000	network_ops	11	10
3901	403	range_ops	11	10
3903	405	range_ops	11	10
3919	783	range_ops	11	10
4015	4000	quad_point_ops	11	10
4016	4000	kd_point_ops	11	10
4017	4000	text_ops	11	10
4033	403	jsonb_ops	11	10
4034	405	jsonb_ops	11	10
4036	2742	jsonb_ops	11	10
4037	2742	jsonb_path_ops	11	10
4054	3580	integer_minmax_ops	11	10
4055	3580	numeric_minmax_ops	11	10
4056	3580	text_minmax_ops	11	10
4058	3580	timetz_minmax_ops	11	10
4059	3580	datetime_minmax_ops	11	10
4062	3580	char_minmax_ops	11	10
4064	3580	bytea_minmax_ops	11	10
4065	3580	name_minmax_ops	11	10
4068	3580	oid_minmax_ops	11	10
4069	3580	tid_minmax_ops	11	10
4070	3580	float_minmax_ops	11	10
4074	3580	macaddr_minmax_ops	11	10
4075	3580	network_minmax_ops	11	10
4076	3580	bpchar_minmax_ops	11	10
4077	3580	time_minmax_ops	11	10
4078	3580	interval_minmax_ops	11	10
4079	3580	bit_minmax_ops	11	10
4080	3580	varbit_minmax_ops	11	10
4081	3580	uuid_minmax_ops	11	10
4082	3580	pg_lsn_minmax_ops	11	10
4102	3580	network_inclusion_ops	11	10
4103	3580	range_inclusion_ops	11	10
4104	3580	box_inclusion_ops	11	10
4109	3580	macaddr8_minmax_ops	11	10
4199	403	multirange_ops	11	10
4225	405	multirange_ops	11	10
4572	3580	integer_bloom_ops	11	10
4573	3580	text_bloom_ops	11	10
4574	3580	numeric_bloom_ops	11	10
4575	3580	timetz_bloom_ops	11	10
4576	3580	datetime_bloom_ops	11	10
4577	3580	char_bloom_ops	11	10
4578	3580	bytea_bloom_ops	11	10
4579	3580	name_bloom_ops	11	10
4580	3580	oid_bloom_ops	11	10
4581	3580	tid_bloom_ops	11	10
4582	3580	float_bloom_ops	11	10
4583	3580	macaddr_bloom_ops	11	10
4584	3580	macaddr8_bloom_ops	11	10
4585	3580	network_bloom_ops	11	10
4586	3580	bpchar_bloom_ops	11	10
4587	3580	time_bloom_ops	11	10
4588	3580	interval_bloom_ops	11	10
4589	3580	uuid_bloom_ops	11	10
4590	3580	pg_lsn_bloom_ops	11	10
4602	3580	integer_minmax_multi_ops	11	10
4603	3580	numeric_minmax_multi_ops	11	10
4604	3580	timetz_minmax_multi_ops	11	10
4605	3580	datetime_minmax_multi_ops	11	10
4606	3580	oid_minmax_multi_ops	11	10
4607	3580	tid_minmax_multi_ops	11	10
4608	3580	float_minmax_multi_ops	11	10
4609	3580	macaddr_minmax_multi_ops	11	10
4610	3580	macaddr8_minmax_multi_ops	11	10
4611	3580	network_minmax_multi_ops	11	10
4612	3580	time_minmax_multi_ops	11	10
4613	3580	interval_minmax_multi_ops	11	10
4614	3580	uuid_minmax_multi_ops	11	10
4615	3580	pg_lsn_minmax_multi_ops	11	10
5000	4000	box_ops	11	10
5008	4000	poly_ops	11	10
5032	405	xid8_ops	11	10
5067	403	xid8_ops	11	10
6158	783	multirange_ops	11	10
6194	405	record_ops	11	10
910042	2742	gin_trgm_ops	2200	10
