10181	5032	5069	5069	2	6422
10182	2226	29	29	1	6423
10183	2226	29	29	2	6424
10184	2227	27	27	1	2233
10185	2227	27	27	2	2234
10186	2229	25	25	1	400
10187	2229	25	25	2	448
10188	2231	1042	1042	1	1080
10189	2231	1042	1042	2	972
10190	2235	1033	1033	1	329
10191	2235	1033	1033	2	777
10192	2969	2950	2950	1	2963
10193	2969	2950	2950	2	3412
10194	6194	2249	2249	1	6192
10195	6194	2249	2249	2	6193
10196	3254	3220	3220	1	3252
10197	3254	3220	3220	2	3413
10198	3372	774	774	1	328
10199	3372	774	774	2	781
10200	3523	3500	3500	1	3515
10201	3523	3500	3500	2	3414
10202	3903	3831	3831	1	3902
10203	3903	3831	3831	2	3417
10204	4225	4537	4537	1	4278
10205	4225	4537	4537	2	4279
10206	4034	3802	3802	1	4045
10207	4034	3802	3802	2	3416
10208	1029	600	600	1	2179
10209	1029	600	600	2	2583
10210	1029	600	600	3	1030
10211	1029	600	600	5	2581
10212	1029	600	600	6	2582
10213	1029	600	600	7	2584
10214	1029	600	600	8	3064
10215	1029	600	600	9	3282
10216	1029	600	600	11	3435
10217	2593	603	603	1	2578
10218	2593	603	603	2	2583
10219	2593	603	603	5	2581
10220	2593	603	603	6	2582
10221	2593	603	603	7	2584
10222	2593	603	603	8	3998
10223	2593	2276	2276	12	6347
10224	2594	604	604	1	2585
10225	2594	604	604	2	2583
10226	2594	604	604	3	2586
10227	2594	604	604	5	2581
10228	2594	604	604	6	2582
10229	2594	604	604	7	2584
10230	2594	604	604	8	3288
10231	2594	2276	2276	12	6347
10232	2595	718	718	1	2591
10233	2595	718	718	2	2583
10234	2595	718	718	3	2592
10235	2595	718	718	5	2581
10236	2595	718	718	6	2582
10237	2595	718	718	7	2584
10238	2595	718	718	8	3280
10239	2595	2276	2276	12	6347
10240	3655	3614	3614	1	3654
10241	3655	3614	3614	2	3651
10242	3655	3614	3614	3	3648
10243	3655	3614	3614	4	3649
10244	3655	3614	3614	5	3653
10245	3655	3614	3614	6	3650
10246	3655	3614	3614	7	3652
10247	3655	3614	3614	10	3434
10248	3702	3615	3615	1	3701
10249	3702	3615	3615	2	3698
10250	3702	3615	3615	3	3695
10251	3702	3615	3615	5	3700
10252	3702	3615	3615	6	3697
10253	3702	3615	3615	7	3699
10254	3919	3831	3831	1	3875
10255	3919	3831	3831	2	3876
10256	3919	3831	3831	5	3879
10257	3919	3831	3831	6	3880
10258	3919	3831	3831	7	3881
10259	3919	3831	3831	11	6391
10260	3919	2276	2276	12	6347
10261	3550	869	869	1	3553
10262	3550	869	869	2	3554
10263	3550	869	869	3	3555
10264	3550	869	869	5	3557
10265	3550	869	869	6	3558
10266	3550	869	869	7	3559
10267	3550	869	869	9	3573
10268	3550	2276	2276	12	6347
10269	6158	4537	4537	1	6154
10270	6158	4537	4537	2	3876
10271	6158	4537	4537	3	6156
10272	6158	4537	4537	5	3879
10273	6158	4537	4537	6	3880
10274	6158	4537	4537	7	3881
10275	6158	2276	2276	12	6347
10276	2745	2277	2277	2	2743
10277	2745	2277	2277	3	2774
10278	2745	2277	2277	4	2744
10279	2745	2277	2277	6	3920
10280	3659	3614	3614	1	3724
10281	3659	3614	3614	2	3656
10282	3659	3614	3614	3	3657
10283	3659	3614	3614	4	3658
10284	3659	3614	3614	5	2700
10285	3659	3614	3614	6	3921
10286	4036	3802	3802	1	3480
10287	4036	3802	3802	2	3482
10288	4036	3802	3802	3	3483
10289	4036	3802	3802	4	3484
10290	4036	3802	3802	6	3488
10291	4037	3802	3802	1	351
10292	4037	3802	3802	2	3485
10293	4037	3802	3802	3	3486
10294	4037	3802	3802	4	3487
10295	4037	3802	3802	6	3489
10296	3474	3831	3831	1	3469
10297	3474	3831	3831	2	3470
10298	3474	3831	3831	3	3471
10299	3474	3831	3831	4	3472
10300	3474	3831	3831	5	3473
10301	3794	869	869	1	3795
10302	3794	869	869	2	3796
10303	3794	869	869	3	3797
10304	3794	869	869	4	3798
10305	3794	869	869	5	3799
10306	4015	600	600	1	4018
10307	4015	600	600	2	4019
10308	4015	600	600	3	4020
10309	4015	600	600	4	4021
10310	4015	600	600	5	4022
10311	4016	600	600	1	4023
10312	4016	600	600	2	4024
10313	4016	600	600	3	4025
10314	4016	600	600	4	4026
10315	4016	600	600	5	4022
10316	4017	25	25	1	4027
10317	4017	25	25	2	4028
10318	4017	25	25	3	4029
10319	4017	25	25	4	4030
10320	4017	25	25	5	4031
10321	5000	603	603	1	5012
10322	5000	603	603	2	5013
10323	5000	603	603	3	5014
10324	5000	603	603	4	5015
10325	5000	603	603	5	5016
10326	5008	604	604	1	5010
10327	5008	604	604	2	5013
10328	5008	604	604	3	5014
10329	5008	604	604	4	5015
10330	5008	604	604	5	5016
10331	5008	604	604	6	5011
10332	4064	17	17	1	3383
10333	4064	17	17	2	3384
10334	4064	17	17	3	3385
10335	4064	17	17	4	3386
10336	4578	17	17	1	4591
10337	4578	17	17	2	4592
10338	4578	17	17	3	4593
10339	4578	17	17	4	4594
10340	4578	17	17	5	4595
10341	4578	17	17	11	6413
10342	4062	18	18	1	3383
10343	4062	18	18	2	3384
10344	4062	18	18	3	3385
10345	4062	18	18	4	3386
10346	4577	18	18	1	4591
10347	4577	18	18	2	4592
10348	4577	18	18	3	4593
10349	4577	18	18	4	4594
10350	4577	18	18	5	4595
10351	4577	18	18	11	454
10352	4065	19	19	1	3383
10353	4065	19	19	2	3384
10354	4065	19	19	3	3385
10355	4065	19	19	4	3386
10356	4579	19	19	1	4591
10357	4579	19	19	2	4592
10358	4579	19	19	3	4593
10359	4579	19	19	4	4594
10360	4579	19	19	5	4595
10361	4579	19	19	11	455
10362	4054	20	20	1	3383
10363	4054	20	20	2	3384
10364	4054	20	20	3	3385
10365	4054	20	20	4	3386
10366	4054	21	21	1	3383
10367	4054	21	21	2	3384
10368	4054	21	21	3	3385
10369	4054	21	21	4	3386
10370	4054	23	23	1	3383
10371	4054	23	23	2	3384
10372	4054	23	23	3	3385
10373	4054	23	23	4	3386
10374	4602	21	21	1	4616
10375	4602	21	21	2	4617
10376	4602	21	21	3	4618
10377	4602	21	21	4	4619
10378	4602	21	21	5	4620
10379	4602	21	21	11	4621
10380	4602	23	23	1	4616
10381	4602	23	23	2	4617
10382	4602	23	23	3	4618
10383	4602	23	23	4	4619
10384	4602	23	23	5	4620
10385	4602	23	23	11	4622
10386	4602	20	20	1	4616
10387	4602	20	20	2	4617
10388	4602	20	20	3	4618
10389	4602	20	20	4	4619
10390	4602	20	20	5	4620
10391	4602	20	20	11	4623
10392	4572	20	20	1	4591
10393	4572	20	20	2	4592
10394	4572	20	20	3	4593
10395	4572	20	20	4	4594
10396	4572	20	20	5	4595
10397	4572	20	20	11	949
10398	4572	21	21	1	4591
10399	4572	21	21	2	4592
10400	4572	21	21	3	4593
10401	4572	21	21	4	4594
10402	4572	21	21	5	4595
10403	4572	21	21	11	449
10404	4572	23	23	1	4591
10405	4572	23	23	2	4592
10406	4572	23	23	3	4593
10407	4572	23	23	4	4594
10408	4572	23	23	5	4595
10409	4572	23	23	11	450
10410	4056	25	25	1	3383
10411	4056	25	25	2	3384
10412	4056	25	25	3	3385
10413	4056	25	25	4	3386
10414	4573	25	25	1	4591
10415	4573	25	25	2	4592
10416	4573	25	25	3	4593
10417	4573	25	25	4	4594
10418	4573	25	25	5	4595
10419	4573	25	25	11	400
10420	4068	26	26	1	3383
10421	4068	26	26	2	3384
10422	4068	26	26	3	3385
10423	4068	26	26	4	3386
10424	4606	26	26	1	4616
10425	4606	26	26	2	4617
10426	4606	26	26	3	4618
10427	4606	26	26	4	4619
10428	4606	26	26	5	4620
10429	4606	26	26	11	4622
10430	4580	26	26	1	4591
10431	4580	26	26	2	4592
10432	4580	26	26	3	4593
10433	4580	26	26	4	4594
10434	4580	26	26	5	4595
10435	4580	26	26	11	453
10436	4069	27	27	1	3383
10437	4069	27	27	2	3384
10438	4069	27	27	3	3385
10439	4069	27	27	4	3386
10440	4581	27	27	1	4591
10441	4581	27	27	2	4592
10442	4581	27	27	3	4593
10443	4581	27	27	4	4594
10444	4581	27	27	5	4595
10445	4581	27	27	11	2233
10446	4607	27	27	1	4616
10447	4607	27	27	2	4617
10448	4607	27	27	3	4618
10449	4607	27	27	4	4619
10450	4607	27	27	5	4620
10451	4607	27	27	11	4627
10452	4070	700	700	1	3383
10453	4070	700	700	2	3384
10454	4070	700	700	3	3385
10455	4070	700	700	4	3386
10456	4070	701	701	1	3383
10457	4070	701	701	2	3384
10458	4070	701	701	3	3385
10459	4070	701	701	4	3386
10460	4608	700	700	1	4616
10461	4608	700	700	2	4617
10462	4608	700	700	3	4618
10463	4608	700	700	4	4619
10464	4608	700	700	5	4620
10465	4608	700	700	11	4624
10466	4608	701	701	1	4616
10467	4608	701	701	2	4617
10468	4608	701	701	3	4618
10469	4608	701	701	4	4619
10470	4608	701	701	5	4620
10471	4608	701	701	11	4625
10472	4582	700	700	1	4591
10473	4582	700	700	2	4592
10474	4582	700	700	3	4593
10475	4582	700	700	4	4594
10476	4582	700	700	5	4595
10477	4582	700	700	11	451
10478	4582	701	701	1	4591
10479	4582	701	701	2	4592
10480	4582	701	701	3	4593
10481	4582	701	701	4	4594
10482	4582	701	701	5	4595
10483	4582	701	701	11	452
10484	4074	829	829	1	3383
10485	4074	829	829	2	3384
10486	4074	829	829	3	3385
10487	4074	829	829	4	3386
10488	4609	829	829	1	4616
10489	4609	829	829	2	4617
10490	4609	829	829	3	4618
10491	4609	829	829	4	4619
10492	4609	829	829	5	4620
10493	4609	829	829	11	4634
10494	4583	829	829	1	4591
10495	4583	829	829	2	4592
10496	4583	829	829	3	4593
10497	4583	829	829	4	4594
10498	4583	829	829	5	4595
10499	4583	829	829	11	399
10500	4109	774	774	1	3383
10501	4109	774	774	2	3384
10502	4109	774	774	3	3385
10503	4109	774	774	4	3386
10504	4610	774	774	1	4616
10505	4610	774	774	2	4617
10506	4610	774	774	3	4618
10507	4610	774	774	4	4619
10508	4610	774	774	5	4620
10509	4610	774	774	11	4635
10510	4584	774	774	1	4591
10511	4584	774	774	2	4592
10512	4584	774	774	3	4593
10513	4584	774	774	4	4594
10514	4584	774	774	5	4595
10515	4584	774	774	11	328
10516	4075	869	869	1	3383
10517	4075	869	869	2	3384
10518	4075	869	869	3	3385
10519	4075	869	869	4	3386
10520	4611	869	869	1	4616
10521	4611	869	869	2	4617
10522	4611	869	869	3	4618
10523	4611	869	869	4	4619
10524	4611	869	869	5	4620
10525	4611	869	869	11	4636
10526	4585	869	869	1	4591
10527	4585	869	869	2	4592
10528	4585	869	869	3	4593
10529	4585	869	869	4	4594
10530	4585	869	869	5	4595
10531	4585	869	869	11	422
10532	4102	869	869	1	4105
10533	4102	869	869	2	4106
10534	4102	869	869	3	4107
10535	4102	869	869	4	4108
10536	4102	869	869	11	4063
10537	4102	869	869	12	4071
10538	4102	869	869	13	930
10539	4076	1042	1042	1	3383
10540	4076	1042	1042	2	3384
10541	4076	1042	1042	3	3385
10542	4076	1042	1042	4	3386
10543	4586	1042	1042	1	4591
10544	4586	1042	1042	2	4592
10545	4586	1042	1042	3	4593
10546	4586	1042	1042	4	4594
10547	4586	1042	1042	5	4595
10548	4586	1042	1042	11	1080
10549	4077	1083	1083	1	3383
10550	4077	1083	1083	2	3384
10551	4077	1083	1083	3	3385
10552	4077	1083	1083	4	3386
10553	4612	1083	1083	1	4616
10554	4612	1083	1083	2	4617
10555	4612	1083	1083	3	4618
10556	4612	1083	1083	4	4619
10557	4612	1083	1083	5	4620
10558	4612	1083	1083	11	4630
10559	4587	1083	1083	1	4591
10560	4587	1083	1083	2	4592
10561	4587	1083	1083	3	4593
10562	4587	1083	1083	4	4594
10563	4587	1083	1083	5	4595
10564	4587	1083	1083	11	1688
10565	4059	1114	1114	1	3383
10566	4059	1114	1114	2	3384
10567	4059	1114	1114	3	3385
10568	4059	1114	1114	4	3386
10569	4059	1184	1184	1	3383
10570	4059	1184	1184	2	3384
10571	4059	1184	1184	3	3385
